Timestamp_Readable,Src_IP,Dst_IP,EventType,event_count,Details,Source
2021-05-10 13:20:00,172.16.128.116,10.16.1.1,Direct Attack,2,"PORT_SCAN - {'host_ip': '10.16.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-68.10263791772265)}",Anomaly Log
2021-05-10 13:25:00,172.16.128.116,10.16.1.1,Direct Attack,2,"BRUTE_FORCE - {'host_ip': '10.16.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-77.39044073240524)}",Anomaly Log
2021-05-10 13:30:00,172.16.128.116,10.16.1.1,Direct Attack,1,"PORT_SCAN - {'host_ip': '10.16.1.1', 'feature_type': 'ip_ratio, tcp_ratio, syn_count_ratio, rst_peers_ratio, tcp_peers_ratio', 'deviation_percent': -298.64420252976544}",Anomaly Log
2021-05-10 13:40:00,172.16.128.116,10.16.1.1,Direct Attack,1,"BRUTE_FORCE - {'host_ip': '10.16.1.1', 'feature_type': 'ip_ratio, tcp_ratio, syn_count_ratio, rst_peers_ratio, tcp_peers_ratio', 'deviation_percent': -302.9935339829664}",Anomaly Log
2021-05-10 22:05:00,172.16.128.116,10.16.1.1,Direct Attack,2,"BRUTE_FORCE - {'host_ip': '10.16.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-83.34213730048955)}",Anomaly Log
2021-05-10 23:00:00,172.16.128.116,10.16.1.1,Direct Attack,2,"BRUTE_FORCE - {'host_ip': '10.16.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-67.58134221648872)}",Anomaly Log
2021-05-10 23:05:00,172.16.128.116,10.16.1.1,Direct Attack,1,"BRUTE_FORCE - {'host_ip': '10.16.1.1', 'feature_type': 'ip_ratio, tcp_ratio, syn_count_ratio, rst_peers_ratio, tcp_peers_ratio', 'deviation_percent': -298.4168414015351}",Anomaly Log
2021-05-11 19:40:00,172.16.128.116,10.16.1.1,Direct Attack,2,"BRUTE_FORCE - {'host_ip': '10.16.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-69.65736667730596)}",Anomaly Log
2021-05-11 20:00:00,10.16.1.1,10.16.1.2,Lateral Movement,1,Node 10.16.1.1:nan (victim/zombie) moved laterally to 10.16.1.2:nan in the same subnet soon after being attacked,Inferred Logic
2021-05-11 20:05:00,10.16.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.16.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-73.20489661228294)}",Anomaly Log
2021-05-11 20:05:00,10.16.1.1,10.16.1.3,Direct Attack,2,"PORT_SCAN - {'host_ip': '10.16.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(10000.0)}",Anomaly Log
2021-05-11 20:05:00,10.16.1.3,10.16.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.16.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-73.20489661228294)}",Anomaly Log
2021-05-11 20:05:00,10.16.1.1,10.16.1.2,Direct Attack,1,"PORT_SCAN - {'host_ip': '10.16.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(10000.0)}",Anomaly Log
2021-05-11 20:10:00,10.16.1.1,10.16.1.2,Lateral Movement,1,Node 10.16.1.1:43967 (victim/zombie) moved laterally to 10.16.1.2:80 in the same subnet soon after being attacked,Inferred Logic
2021-05-11 20:10:00,10.16.1.2,10.16.1.1,Reverse CC Connection,1,"Node 10.16.1.2:137 (Zombie) connected back to Zombie 10.16.1.1:137 (same subnet, time window satisfied)",Inferred Logic
2021-05-11 20:15:00,10.16.1.2,10.16.1.255,Lateral Movement,1,Node 10.16.1.2:138 (victim/zombie) moved laterally to 10.16.1.255:138 in the same subnet soon after being attacked,Inferred Logic
