Timestamp_Readable,Src_IP,Dst_IP,EventType,event_count,Details,Source
2021-05-09 03:30:00,10.12.1.3,10.12.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-60.898681605858926)}",Anomaly Log
2021-05-09 03:35:00,10.12.1.3,10.12.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-57.232558773284566)}",Anomaly Log
2021-05-09 07:15:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-55.55138192043506)}",Anomaly Log
2021-05-09 08:35:00,10.12.1.3,10.12.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-57.636468918877384)}",Anomaly Log
2021-05-09 09:35:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-57.30620025599556)}",Anomaly Log
2021-05-09 09:45:00,10.12.1.3,10.12.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-54.46378567839183)}",Anomaly Log
2021-05-09 10:25:00,10.12.1.3,10.12.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-55.131903092656664)}",Anomaly Log
2021-05-09 11:30:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-54.29757588664486)}",Anomaly Log
2021-05-09 11:40:00,10.12.1.3,10.12.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-54.24903952245543)}",Anomaly Log
2021-05-09 13:05:00,172.16.128.112,10.12.1.1,Direct Attack,2,"PORT_SCAN - {'host_ip': '10.12.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-60.32060511038437)}",Anomaly Log
2021-05-09 13:20:00,10.12.1.3,10.12.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-53.705476555199446)}",Anomaly Log
2021-05-09 13:40:00,10.12.1.1,10.12.1.2,Direct Attack,2,"PORT_SCAN - {'host_ip': '10.12.1.1', 'feature_type': 'ip_ratio, tcp_ratio, syn_count_ratio, syn_peers_ratio, rst_peers_ratio', 'deviation_percent': -220.2163143995373}",Anomaly Log
2021-05-09 13:40:00,10.12.1.1,10.12.1.254,Direct Attack,2,"PORT_SCAN - {'host_ip': '10.12.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(3341.0333418720884)}",Anomaly Log
2021-05-09 13:40:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-64.21626228642496)}",Anomaly Log
2021-05-09 13:40:00,10.12.1.3,10.12.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-64.21626228642496)}",Anomaly Log
2021-05-09 13:40:00,10.12.1.1,10.12.1.3,Direct Attack,2,"PORT_SCAN - {'host_ip': '10.12.1.1', 'feature_type': 'ip_ratio, tcp_ratio, syn_count_ratio, syn_peers_ratio, rst_peers_ratio', 'deviation_percent': -220.2163143995373}",Anomaly Log
2021-05-09 13:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 13:45:00,10.12.1.2,10.12.1.1,Reverse CC Connection,1,"Node 10.12.1.2:137 (Zombie) connected back to Zombie 10.12.1.1:137 (same subnet, time window satisfied)",Inferred Logic
2021-05-09 13:45:00,172.16.128.112,10.12.1.1,Data Download,1,"{'host_ip': '10.12.1.1', 'feature_type': 'ip_ratio, tcp_ratio, syn_count_ratio, syn_peers_ratio, rst_peers_ratio', 'deviation_percent': -294.25044948414654}",Inferred Logic (from Anomaly)
2021-05-09 13:45:00,10.12.1.1,10.12.1.2,Direct Attack,3,"PORT_SCAN - {'host_ip': '10.12.1.2', 'feature_type': 'ip_ratio, tcp_ratio, udp_ratio, rst_peers_ratio', 'deviation_percent': 92.56021501476403}",Anomaly Log
2021-05-09 13:50:00,10.12.1.1,10.12.1.2,Persistence 1,1,Node 10.12.1.1:46029 connected to 10.12.1.2:8080 soon after CC 10.12.1.2:137->10.12.1.1:137,Inferred Logic
2021-05-09 13:55:00,10.12.1.1,34.107.221.82,Direct Attack,2,"BRUTE_FORCE - {'host_ip': '10.12.1.1', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(5373.496383919147)}",Anomaly Log
2021-05-09 13:55:00,10.12.1.1,10.12.1.2,Persistence 1,1,Node 10.12.1.1:46048 connected to 10.12.1.2:8080 soon after CC 10.12.1.2:137->10.12.1.1:137,Inferred Logic
2021-05-09 13:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 14:00:00,10.12.1.1,10.12.1.2,Direct Attack,3,"BRUTE_FORCE - {'host_ip': '10.12.1.2', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(111.17977999819388)}",Anomaly Log
2021-05-09 14:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 14:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 14:30:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 14:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 14:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 15:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 15:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 15:30:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-55.58079769727022)}",Anomaly Log
2021-05-09 15:30:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 15:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 15:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 16:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 16:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 16:30:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 16:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 16:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 17:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 17:10:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-54.69352890064243)}",Anomaly Log
2021-05-09 17:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 17:30:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 17:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 17:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 18:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 18:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 18:20:00,10.12.1.3,10.12.1.254,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-54.011340243811645)}",Anomaly Log
2021-05-09 18:30:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 18:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 18:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 19:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 19:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 19:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 19:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 19:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 20:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 20:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 20:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 20:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 20:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 21:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 21:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 21:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 21:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 21:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 22:10:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-55.23797746276369)}",Anomaly Log
2021-05-09 22:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 22:15:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-53.61780470342913)}",Anomaly Log
2021-05-09 22:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 22:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 22:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 22:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 23:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 23:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 23:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 23:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 23:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-09 23:55:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-56.02233499407464)}",Anomaly Log
2021-05-10 00:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 00:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 00:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 00:40:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-55.21676264569004)}",Anomaly Log
2021-05-10 00:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 00:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 01:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 01:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 01:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 01:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 01:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 02:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 02:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 02:20:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-54.74972214183866)}",Anomaly Log
2021-05-10 02:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 02:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 02:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 03:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 03:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 03:30:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:137 (victim/zombie) moved laterally to 10.12.1.255:137 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 03:35:00,10.12.1.3,10.1.2.2,Direct Attack,1,"DOS_ATTACK - {'host_ip': '10.12.1.3', 'feature_type': 'behavior_volume', 'deviation_percent': np.float64(-57.85275968240163)}",Anomaly Log
2021-05-10 03:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 03:45:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 03:55:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 04:10:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 04:20:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
2021-05-10 04:35:00,10.12.1.2,10.12.1.255,Lateral Movement,1,Node 10.12.1.2:138 (victim/zombie) moved laterally to 10.12.1.255:138 in the same subnet soon after being attacked,Inferred Logic
